Country,siteName,contactEmail,sciName,totalCount,family,active.ambush,feedingTypeFishbase,feedingImpute,trophicGroupRLS,trophicImpute,waterColumnRLS,waterColumnImpute,eat.squid,eat.squidImpute,BodyShapeI,BodyShapeII,Forehead,TypeofMouth,PosofMouth,CShape,Attributes,TL,HL,BD,SnoutTipX,SnoutTipY,AspectRatio,EncIndex,DietTroph,DietSeTroph,FoodTroph,FoodSeTroph,SoftBottom,Sand,Mud,HardBottom,SeaGrassBeds,CoralReefs,Estuaries,Mangroves,Intertidal,Saltmarshes,Herbivory2,Climate,FoodI,FoodII
USA (TX),Aransas Pass,mdiskin@islander.tamucc.edu,Menidia beryllina,13,Atherinopsidae,active,selective plankton feeding,selective plankton feeding,NA,benthic invertivore,pelagic site attached,pelagic site attached,0,0,elongated,NA,NA,NA,NA,NA,NA,341,67,52,275,81,1.3888,NaN,NaN,NaN,NaN,NaN,-1,-1,0,0,-1,0,-1,0,0,0,mainly animals (troph. 2.8 and up),subtropical;temperate,,
USA (DE),"UD Lewes, DE",lanej@udel.edu,Menidia menidia,8,Atherinopsidae,active,selective plankton feeding,selective plankton feeding,NA,benthic invertivore,pelagic site attached,pelagic site attached,0,0,elongated,NA,NA,NA,NA,NA,NA,549,86,63,NaN,NaN,1.10694,NaN,3.19,0.1,NaN,NaN,0,0,0,0,-1,0,-1,0,0,0,mainly animals (troph. 2.8 and up),temperate,,
USA (NC),NC,sziegler@live.unc.edu,Menidia menidia,17,Atherinopsidae,active,selective plankton feeding,selective plankton feeding,Benthic invertivore,benthic invertivore,pelagic site attached,pelagic site attached,0,0,elongated,NA,NA,NA,NA,NA,NA,549,86,63,NaN,NaN,1.10694,NaN,3.19,0.1,NaN,NaN,0,0,0,0,-1,0,-1,0,0,0,mainly animals (troph. 2.8 and up),temperate,,
USA (VA2),NA,pg@vims.edu,Menidia menidia,1079,Atherinopsidae,active,selective plankton feeding,selective plankton feeding,planktivore,planktivore,pelagic site attached,pelagic site attached,0,0,elongated,NA,NA,NA,NA,NA,NA,549,86,63,NaN,NaN,1.10694,NaN,3.19,0.1,NaN,NaN,0,0,0,0,-1,0,-1,0,0,0,mainly animals (troph. 2.8 and up),temperate,,
Chile,Puerto Aldea (Chile),thiel@ucn.cl,Odontesthes sp.,2,Atherinopsidae,active,selective plankton feeding,selective plankton feeding,planktivore,planktivore,pelagic site attached,pelagic site attached,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canada (BC),Choked Pocket,zach.monteith@hakai.org,Aulorhynchus flavidus,4,Aulorhynchidae,ambush,hunting macrofauna (predator),hunting macrofauna (predator),Planktivore,planktivore,Pelagic site attached,pelagic site attached,0,0,elongated,NA,NA,NA,NA,forked,more or less normal,585,143,38,NaN,NaN,1.1713,NaN,NaN,NaN,3.390000105,0.4158,-1,0,0,-1,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),boreal;subtropical;temperate,zoobenthos;zooplankton,benth. crust.;fish (early stages);plank. crust.;worms
USA (AK),Sunshine Cove,wraymond2@alaska.edu,Aulorhynchus flavidus,15,Aulorhynchidae,ambush,hunting macrofauna (predator),hunting macrofauna (predator),planktivore;benthic invertivore,planktivore;benthic invertivore,Demersal,demersal,0,0,elongated,NA,NA,NA,NA,forked,more or less normal,585,143,38,NaN,NaN,1.1713,NaN,NaN,NaN,3.390000105,0.4158,-1,0,0,-1,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),boreal;subtropical;temperate,zoobenthos;zooplankton,benth. crust.;fish (early stages);plank. crust.;worms
USA (WA),Redondo N1,hultgrenk@seattleu.edu,Aulorhynchus flavidus,1,Aulorhynchidae,ambush,selective plankton feeding,selective plankton feeding,planktivore;benthic invertivore,planktivore;benthic invertivore,Benthopelagic,benthopelagic,0,0,elongated,NA,NA,NA,NA,forked,more or less normal,585,143,38,NaN,NaN,1.1713,NaN,NaN,NaN,3.390000105,0.4158,-1,0,0,-1,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),boreal;subtropical;temperate,zoobenthos;zooplankton,benth. crust.;fish (early stages);plank. crust.;worms
Australia (NSW2),Urunga Lagoon 1,brendan.kelaher@scu.edu.au,Aulostomus chinensis,1,Aulostomidae,ambush,hunting macrofauna (predator),hunting macrofauna (predator),higher carnivore,higher carnivore,pelagic site attached,pelagic site attached,0,0,elongated,compressed,more or less straight,tube-like,terminal,other (see remark),more or less normal,548,172,45,42,110,1.05018,57.75,NaN,NaN,4.24,0.74,-1,-1,-1,-1,-1,-1,0,0,0,0,mainly animals (troph. 2.8 and up),tropical,nekton;zoobenthos,benth. crust.;finfish
Mexico (ICML),NA,NA,Balistes vetula,1,Balistidae,active,hunting macrofauna (predator),hunting macrofauna (predator),NA,scraping herbivore,NA,benthic,1,1,short and / or deep,NA,NA,NA,NA,NA,NA,587.5,135.5,224.5,32,199,2.785615,NaN,3.82,0.132,3.339999914,0.451,-1,0,0,-1,-1,-1,-1,0,0,0,mainly animals (troph. 2.8 and up),tropical,nekton;others;plants;zoobenthos;zooplankton,benth. crust.;cnidarians;echinoderms;finfish;insects;mollusks;other benth. invertebrates;other benth. Invertebrates;other plank. invertebrates;other plants;others;sponges/tunicates;worms
Mexico (ICML),NA,NA,Canthidermis sufflamen,1,Balistidae,active,selective plankton feeding,selective plankton feeding,NA,benthic invertivore,NA,benthic,1,1,short and / or deep,NA,NA,NA,NA,more or less truncate,more or less normal,593,144.5,247.5,24,207,2.59555,NaN,3.45,0.347,3.48,0.47,0,0,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),tropical,zoobenthos;zooplankton,benth. crust.;cnidarians;echinoderms;jellyfish/hydroids;mollusks;other benth. invertebrates;other plank. invertebrates;plank. crust.
USA (NC),NC,sziegler@live.unc.edu,Opsanus tau,4,Batrachoididae,ambush,hunting macrofauna (predator),hunting macrofauna (predator),benthic invertivore;higher carnivore,benthic invertivore;higher carnivore,benthic,benthic,0,0,fusiform / normal,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.84,0.35,NaN,NaN,0,0,0,-1,0,-1,-1,0,0,0,mainly animals (troph. 2.8 and up),subtropical;temperate,,
USA (CA),San Diego,khovel@mail.sdsu.edu,Strongylura exilis,1,Belonidae,active,hunting macrofauna (predator),hunting macrofauna (predator),NA,scraping herbivore,NA,pelagic site attached,0,0,elongated,NA,NA,clearly protrusible,terminal,other (see remark),asymmetric,582,197,35,NaN,NaN,1.4518,NaN,NaN,NaN,4.5,0.8,0,0,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),temperate;tropical,nekton,finfish
USA (VA),Goodwin Island,jslefche@vims.edu,Strongylura marina,19,Belonidae,active,hunting macrofauna (predator),hunting macrofauna (predator),NA,omnivore,NA,pelagic site attached,0,0,elongated,NA,NA,NA,NA,NA,NA,616,208,39,NaN,NaN,1.34209,NaN,3,0,3.78,0.59,0,0,0,0,0,0,-1,0,0,0,mainly animals (troph. 2.8 and up),tropical,nekton;zoobenthos;zooplankton,benth. crust.;finfish;plank. crust.
USA (VA2),NA,pg@vims.edu,Strongylura marina,14,Belonidae,active,hunting macrofauna (predator),hunting macrofauna (predator),higher carnivore,higher carnivore,pelagic non-site attached,pelagic non-site attached,0,0,elongated,NA,NA,NA,NA,NA,NA,616,208,39,NaN,NaN,1.34209,NaN,3,0,3.78,0.59,0,0,0,0,0,0,-1,0,0,0,mainly animals (troph. 2.8 and up),tropical,nekton;zoobenthos;zooplankton,benth. crust.;finfish;plank. crust.
USA (NC),NC,sziegler@live.unc.edu,Chasmodes saburrae,1,Blenniidae,ambush,hunting macrofauna (predator),hunting macrofauna (predator),omnivore,omnivore,benthic,benthic,1,1,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.47,0.5,NaN,NaN,0,0,0,0,0,0,-1,0,0,0,mainly animals (troph. 2.8 and up),subtropical,,
Mexico (BN),Punta Banda Estuary,pablojorgensen@hotmail.com,Hypsoblennius gentilis,11,Blenniidae,ambush,Hunting macrofauna (predator),hunting macrofauna (predator),Benthic invertivore,benthic invertivore,Benthic,benthic,1,1,elongated,NA,NA,NA,NA,NA,NA,511,79,108,46,111,1.45064,NaN,NaN,NaN,2.71,0.24,0,0,0,-1,0,0,0,0,-1,0,plants/detritus+animals (troph. 2.2-2.79),subtropical,plants;zoobenthos,other benth. invertebrates;other plants
USA (CA),San Diego,khovel@mail.sdsu.edu,Hypsoblennius gentilis,3,Blenniidae,ambush,NA,variable,NA,scraping herbivore,NA,benthic,1,1,elongated,NA,NA,NA,NA,NA,NA,511,79,108,46,111,1.45064,NaN,NaN,NaN,2.71,0.24,0,0,0,-1,0,0,0,0,-1,0,plants/detritus+animals (troph. 2.2-2.79),subtropical,plants;zoobenthos,other benth. invertebrates;other plants
USA (CA2),Windy Cove,jkoleary@calpoly.edu,Hypsoblennius gentilis,1,Blenniidae,ambush,NA,variable,NA,scraping herbivore,NA,benthic,1,1,elongated,NA,NA,NA,NA,NA,NA,511,79,108,46,111,1.45064,NaN,NaN,NaN,2.71,0.24,0,0,0,-1,0,0,0,0,-1,0,plants/detritus+animals (troph. 2.2-2.79),subtropical,plants;zoobenthos,other benth. invertebrates;other plants
Chile,Puerto Aldea (Chile),thiel@ucn.cl,Hypsoblennius sordidus,1,Blenniidae,ambush,variable,variable,omnivore,omnivore,benthic,benthic,1,1,fusiform / normal,NA,NA,NA,NA,more or less truncate,more or less normal,559,103,78,NaN,NaN,0.959191,NaN,2.76,0.17,NaN,NaN,0,0,0,0,0,0,0,0,-1,0,plants/detritus+animals (troph. 2.2-2.79),temperate,,
Australia (QLD3),Moreton_Bay,r.connolly@griffith.edu.au,Petroscirtes lupus,5,Blenniidae,ambush,variable,variable,Omnivore,omnivore,benthic,benthic,1,1,elongated,NA,NA,NA,NA,more or less truncate,more or less normal,561,113,94,NaN,NaN,0.825075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,subtropical;tropical,,
Australia (QLD3),Moreton_Bay,r.connolly@griffith.edu.au,Petroscirtes lupus,5,Blenniidae,ambush,variable,variable,Omnivore,omnivore,benthic,benthic,1,1,elongated,NA,NA,NA,NA,more or less truncate,more or less normal,561,113,94,NaN,NaN,0.825075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,subtropical;tropical,,
Australia (QLD3),Moreton_Bay,r.connolly@griffith.edu.au,Petroscirtes lupus,5,Blenniidae,ambush,variable,variable,Omnivore,omnivore,benthic,benthic,1,1,elongated,NA,NA,NA,NA,more or less truncate,more or less normal,561,113,94,NaN,NaN,0.825075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,subtropical;tropical,,
Australia (QLD2),Noosa river,chender1@usc.edu.au,Petroscirtes variabilis,3,Blenniidae,ambush,hunting macrofauna (predator),hunting macrofauna (predator),scraping herbivore,scraping herbivore,benthic,benthic,1,1,elongated,NA,NA,NA,NA,NA,NA,611,99,117,NaN,NaN,0.507678,NaN,NaN,NaN,3.1,0.43,0,0,0,0,-1,-1,-1,0,0,0,mainly animals (troph. 2.8 and up),tropical,detritus;nekton;plants;zoobenthos;zooplankton,benth. crust.;detritus;finfish;fish (early stages);other plants;plank. crust.
Australia (QLD2),NA,NA,Plagiotremus tapeinosoma,19,Blenniidae,ambush,hunting macrofauna (predator),hunting macrofauna (predator),NA,scraping herbivore,NA,benthic,1,1,elongated,NA,NA,NA,NA,NA,NA,565,87,65,27,144,0.749679,110,3.84,0.67,NaN,NaN,0,0,0,0,0,-1,0,0,0,0,mainly animals (troph. 2.8 and up),tropical,,
Croatia,CR-B-SvetiDuh,claudia@claudiakruschel.com,Salaria pavo,24,Blenniidae,ambush,variable,variable,Omnivore,omnivore,benthic,benthic,1,1,fusiform / normal,NA,NA,NA,NA,NA,NA,603,103,121,NaN,NaN,0.803736,NaN,3.59,NaN,3.02,0.34,0,0,0,0,0,0,-1,0,-1,0,plants/detritus+animals (troph. 2.2-2.79),subtropical,plants;zoobenthos,mollusks;other benth. invertebrates;other plants
Croatia,CR-B-SvetiDuh,claudia@claudiakruschel.com,Salaria pavo,24,Blenniidae,ambush,variable,variable,Omnivore,omnivore,benthic,benthic,1,1,fusiform / normal,NA,NA,NA,NA,NA,NA,603,103,121,NaN,NaN,0.803736,NaN,3.59,NaN,3.02,0.34,0,0,0,0,0,0,-1,0,-1,0,plants/detritus+animals (troph. 2.2-2.79),subtropical,plants;zoobenthos,mollusks;other benth. invertebrates;other plants
France,Bouzigues,francesca.rossi@cnrs.fr,Salaria pavo,16,Blenniidae,ambush,variable,variable,NA,scraping herbivore,benthic,benthic,1,1,fusiform / normal,NA,NA,NA,NA,NA,NA,603,103,121,NaN,NaN,0.803736,NaN,3.59,NaN,3.02,0.34,0,0,0,0,0,0,-1,0,-1,0,plants/detritus+animals (troph. 2.2-2.79),subtropical,plants;zoobenthos,mollusks;other benth. invertebrates;other plants
France,Bouzigues,francesca.rossi@cnrs.fr,Salaria pavo,16,Blenniidae,ambush,variable,variable,NA,scraping herbivore,benthic,benthic,1,1,fusiform / normal,NA,NA,NA,NA,NA,NA,603,103,121,NaN,NaN,0.803736,NaN,3.59,NaN,3.02,0.34,0,0,0,0,0,0,-1,0,-1,0,plants/detritus+animals (troph. 2.2-2.79),subtropical,plants;zoobenthos,mollusks;other benth. invertebrates;other plants
Chile,NA,NA,Scartichthys gigas,1,Blenniidae,ambush,variable,variable,NA,scraping herbivore,NA,benthic,1,1,elongated,NA,NA,NA,NA,more or less truncate,more or less normal,552,104,144,NaN,NaN,0.990134,NaN,NaN,NaN,3.01,0.39,0,0,0,0,0,0,0,0,-1,0,plants/detritus+animals (troph. 2.2-2.79),temperate;tropical,plants;zoobenthos,benth. crust.;mollusks;other plants
Chile,Puerto Aldea (Chile),thiel@ucn.cl,Scartichthys viridis,30,Blenniidae,ambush,grazing on aquatic plants,grazing on aquatic plants,omnivore,omnivore,benthic,benthic,1,1,elongated,oval,NA,NA,NA,more or less truncate,more or less normal,475,81,120,33,122,2.06089,NaN,2.19,0.106,2.11,0.09,0,0,0,0,0,0,0,0,-1,0,mainly plants/detritus (troph. 2-2.19),temperate,plants;zoobenthos,benth. crust.;mollusks;other plants;phytoplankton
Wales,"Porthdinllaen, UK",maxrobinson@hotmail.com,Callionymus lyra,2,Callionymidae,ambush,hunting macrofauna (predator),hunting macrofauna (predator),NA,scraping herbivore,NA,pelagic site attached,0,0,elongated,NA,more or less straight,more or less normal,terminal,more or less truncate,more or less normal,583,153.5,65.5,30,266,0.546077,120.03125,NaN,NaN,3.27,0.38,-1,0,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),subtropical,zoobenthos,benth. crust.;worms
Korea,Koje-Korea,"sormyo@pusan.ac.kr, klee@pusan.ac.kr",Repomucenus lunatus,3,Callionymidae,ambush,NA,browsing on substrate,NA,benthic invertivore,benthic,benthic,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australia (QLD3),Moreton_Bay,r.connolly@griffith.edu.au,Repomucenus macdonaldi,2,Callionymidae,ambush,browsing on substrate,browsing on substrate,Benthic invertivore,benthic invertivore,benthic,benthic,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australia (QLD3),Moreton_Bay,r.connolly@griffith.edu.au,Repomucenus macdonaldi,2,Callionymidae,ambush,browsing on substrate,browsing on substrate,Benthic invertivore,benthic invertivore,benthic,benthic,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chile,Puerto Aldea (Chile),thiel@ucn.cl,Cancer coronatus,2,Cancridae,active,hunting macrofauna (predator),hunting macrofauna (predator),benthic invertivore,benthic invertivore,benthic,benthic,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canada (QC),QC_Baie St-Ludger,mathieu.cusson@uqac.ca,Cancer irroratus,286,Cancridae,active,NA,variable,NA,scraping herbivore,NA,benthic,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,3.29,0.22,1,0,0,1,0,0,0,0,1,NA,plants/detritus+animals (troph. 2.2-2.79),temperate,plants;zoobenthos,benth. crust.;echinoderms;mollusks;other benth. invertebrates;other plants;worms
USA (CA3),Elkhorn Slough,bbhughes@ucsc.edu,Metacarcinus magister,3,Cancridae,active,variable,variable,omnivore,omnivore,benthic,benthic,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.45,0.47,3.61,0.52,1,1,0,1,1,0,1,0,1,NA,mainly animals (troph. 2.8 and up),boreal;subtropical;temperate,nekton;zoobenthos;zooplankton,benth. crust.;finfish;jellyfish/hydroids;mollusks;worms
USA (OR),OIMB-Valino-SSNERR,agalow3@uoregon.edu,Metacarcinus magister,60,Cancridae,active,NA,browsing on substrate,NA,scraping herbivore,benthic,benthic,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.45,0.47,3.61,0.52,1,1,0,1,1,0,1,0,1,NA,mainly animals (troph. 2.8 and up),boreal;subtropical;temperate,nekton;zoobenthos;zooplankton,benth. crust.;finfish;jellyfish/hydroids;mollusks;worms
Chile,Puerto Aldea (Chile),thiel@ucn.cl,Romaleon polyodon,41,Cancridae,active,hunting macrofauna (predator),hunting macrofauna (predator),benthic invertivore,benthic invertivore,benthic,benthic,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,NA,,subtropical,,
Chile,Puerto Aldea (Chile),thiel@ucn.cl,Romaleon polyodon,41,Cancridae,active,hunting macrofauna (predator),hunting macrofauna (predator),benthic invertivore,benthic invertivore,benthic,benthic,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,NA,,subtropical,,
Australia (QLD2),NA,NA,Carangoides fulvoguttatus,13,Carangidae,active,hunting macrofauna (predator),hunting macrofauna (predator),NA,scraping herbivore,NA,benthic,1,1,fusiform / normal,compressed,more or less straight,NA,NA,NA,NA,544,133.5,178.5,59,257,4.771755,NaN,4.43,0.539,4.02,0.67,0,0,0,-1,-1,-1,0,0,0,0,mainly animals (troph. 2.8 and up),tropical,nekton;zoobenthos,benth. crust.;finfish
Mexico (ICML2),NA,NA,Caranx bartholomaei,2,Carangidae,active,NA,variable,NA,scraping herbivore,NA,benthic,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,Praia do Barreiro,guca@usp.br,Caranx latus,1,Carangidae,active,hunting macrofauna (predator),hunting macrofauna (predator),benthic invertivore;higher carnivore,benthic invertivore;higher carnivore,pelagic non-site attached,pelagic non-site attached,1,1,fusiform / normal,NA,NA,NA,NA,NA,NA,591,150,178,NaN,NaN,3.5336,NaN,4.16,0.391,3.88,0.62,0,0,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),tropical,nekton;others;zoobenthos;zooplankton,benth. crust.;finfish;mollusks;other plank. invertebrates;others;plank. crust.
Brazil,Praia do Barreiro,guca@usp.br,Caranx latus,1,Carangidae,active,hunting macrofauna (predator),hunting macrofauna (predator),benthic invertivore;higher carnivore,benthic invertivore;higher carnivore,pelagic non-site attached,pelagic non-site attached,1,1,fusiform / normal,NA,NA,NA,NA,NA,NA,591,150,178,NaN,NaN,3.5336,NaN,4.16,0.391,3.88,0.62,0,0,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),tropical,nekton;others;zoobenthos;zooplankton,benth. crust.;finfish;mollusks;other plank. invertebrates;others;plank. crust.
Brazil,Praia do Engenho,guca@usp.br,Caranx latus,3,Carangidae,active,hunting macrofauna (predator),hunting macrofauna (predator),benthic invertivore;higher carnivore,benthic invertivore;higher carnivore,pelagic non-site attached,pelagic non-site attached,1,1,fusiform / normal,NA,NA,NA,NA,NA,NA,591,150,178,NaN,NaN,3.5336,NaN,4.16,0.391,3.88,0.62,0,0,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),tropical,nekton;others;zoobenthos;zooplankton,benth. crust.;finfish;mollusks;other plank. invertebrates;others;plank. crust.
Brazil,Praia do Engenho,guca@usp.br,Caranx latus,3,Carangidae,active,hunting macrofauna (predator),hunting macrofauna (predator),benthic invertivore;higher carnivore,benthic invertivore;higher carnivore,pelagic non-site attached,pelagic non-site attached,1,1,fusiform / normal,NA,NA,NA,NA,NA,NA,591,150,178,NaN,NaN,3.5336,NaN,4.16,0.391,3.88,0.62,0,0,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),tropical,nekton;others;zoobenthos;zooplankton,benth. crust.;finfish;mollusks;other plank. invertebrates;others;plank. crust.
Mexico (ICML),NA,NA,Caranx ruber,5,Carangidae,active,hunting macrofauna (predator),hunting macrofauna (predator),NA,scraping herbivore,NA,benthic,1,1,fusiform / normal,NA,NA,NA,NA,NA,NA,622,140,167,NaN,NaN,4.22826,NaN,4.28,0.146,3.81,0.7,0,0,0,0,0,-1,0,0,0,0,mainly animals (troph. 2.8 and up),tropical,nekton;plants;zoobenthos;zooplankton,benth. crust.;cephalopods;finfish;mollusks;other plants;plank. crust.;worms
Mexico (ICML2),NA,NA,Caranx ruber,6,Carangidae,active,hunting macrofauna (predator),hunting macrofauna (predator),NA,scraping herbivore,NA,benthic,1,1,fusiform / normal,NA,NA,NA,NA,NA,NA,622,140,167,NaN,NaN,4.22826,NaN,4.28,0.146,3.81,0.7,0,0,0,0,0,-1,0,0,0,0,mainly animals (troph. 2.8 and up),tropical,nekton;plants;zoobenthos;zooplankton,benth. crust.;cephalopods;finfish;mollusks;other plants;plank. crust.;worms
Brazil,Praia do Barreiro,guca@usp.br,Oligoplites saliens,1,Carangidae,active,hunting macrofauna (predator),hunting macrofauna (predator),planktivore;higher carnivore,planktivore;higher carnivore,pelagic non-site attached,pelagic non-site attached,1,1,NA,NA,NA,NA,NA,NA,NA,600,98,157,NaN,NaN,2.81466,NaN,NaN,NaN,3.83,0.62,-1,0,0,0,0,0,-1,0,0,0,mainly animals (troph. 2.8 and up),tropical,nekton;zooplankton,finfish;plank. crust.
Australia (QLD2),NA,NA,Scomberoides tala,21,Carangidae,active,hunting macrofauna (predator),hunting macrofauna (predator),NA,scraping herbivore,NA,benthic,1,1,fusiform / normal,NA,NA,NA,NA,NA,NA,572,91,155,NaN,NaN,3.34561,NaN,NaN,NaN,4.5,0.8,-1,0,0,-1,-1,0,0,0,-1,0,mainly animals (troph. 2.8 and up),tropical,nekton,finfish
Australia (QLD2),NA,NA,Trachinotus blochii,2,Carangidae,active,hunting macrofauna (predator),hunting macrofauna (predator),NA,scraping herbivore,NA,benthic,1,1,short and / or deep,compressed,clearly convex,more or less normal,terminal,forked,more or less normal,570.5,105.5,227.5,35,233,3.52165,NaN,NaN,NaN,3.74,0.46,-1,0,0,0,0,-1,-1,0,-1,0,mainly animals (troph. 2.8 and up),tropical,zoobenthos;zooplankton,benth. crust.;mollusks;other benth. invertebrates;other plank. invertebrates
Australia (QLD2),NA,NA,Trachinotus botla,1,Carangidae,active,hunting macrofauna (predator),hunting macrofauna (predator),NA,scraping herbivore,NA,benthic,1,1,fusiform / normal,NA,NA,NA,NA,NA,NA,623,97,180,NaN,NaN,4.97538,NaN,NaN,NaN,3.21,0.4,-1,0,0,0,0,0,0,0,-1,0,mainly animals (troph. 2.8 and up),tropical,zoobenthos,benth. crust.;mollusks;worms
